iter	Logloss
0	0.6660733382
1	0.6404777895
2	0.6191290149
3	0.6028074786
4	0.5856417795
5	0.5713899595
6	0.5607145776
7	0.549254393
8	0.538393638
9	0.5281224648
10	0.5192600185
11	0.5132054188
12	0.5044102128
13	0.4986310829
14	0.4915652074
15	0.4858059799
16	0.4802931576
17	0.4756875652
18	0.471755346
19	0.4684175687
20	0.464229294
21	0.4596135572
22	0.4563620397
23	0.4531184493
24	0.4493618256
25	0.4455875388
26	0.4427127055
27	0.4411490924
28	0.4390173185
29	0.4353392824
30	0.4329278535
31	0.4305600182
32	0.4286215605
33	0.4270046054
34	0.4252873372
35	0.4235068422
36	0.4209528352
37	0.4182861924
38	0.4158120904
39	0.4140878649
40	0.413110892
41	0.4098562245
42	0.4081009929
43	0.4059842592
44	0.4046172148
45	0.4032446532
46	0.4009730349
47	0.4000091743
48	0.3983603603
49	0.3970910349
50	0.3958548963
51	0.3937205988
52	0.3920788151
53	0.3904410315
54	0.3887644734
55	0.38745572
56	0.3852114626
57	0.3834775082
58	0.3817694606
59	0.3804947123
60	0.3793436337
61	0.3770013217
62	0.3757081144
63	0.3752981647
64	0.3748751931
65	0.3737578822
66	0.3735692182
67	0.3732417824
68	0.3718603125
69	0.3700184378
70	0.3699490598
71	0.3687125779
72	0.3669850669
73	0.3656825659
74	0.364857809
75	0.3644475912
76	0.3635072654
77	0.363002172
78	0.3617230639
79	0.3609212203
80	0.3603066608
81	0.3594133244
82	0.3585558758
83	0.3578024237
84	0.3566690582
85	0.3558282329
86	0.3553730278
87	0.3545818438
88	0.3541425136
89	0.3531560873
90	0.3525970394
91	0.3513031495
92	0.3506568442
93	0.349672492
94	0.3494925177
95	0.3491613032
96	0.3482621444
97	0.3472873108
98	0.3464220209
99	0.3460325088
100	0.3451726091
101	0.344876618
102	0.3431650703
103	0.342024781
104	0.3409747426
105	0.3397749109
106	0.3381488881
107	0.3374651307
108	0.3366427608
109	0.3351658399
110	0.3346107964
111	0.3341309665
112	0.3323582508
113	0.3307579282
114	0.3296293347
115	0.329107032
116	0.3285159913
117	0.3275008359
118	0.3264547053
119	0.3263326127
120	0.3253324571
121	0.3250080026
122	0.32353276
123	0.3229110067
124	0.3223969614
125	0.3219074521
126	0.3207857914
127	0.3195378276
128	0.3183503714
129	0.3173353789
130	0.3167751209
131	0.3157810907
132	0.3145288084
133	0.3134652548
134	0.3123802134
135	0.311584643
136	0.311175841
137	0.3103619188
138	0.3103196407
139	0.3092669361
140	0.3083291398
141	0.3066351391
142	0.3065492395
143	0.3056243166
144	0.3045009711
145	0.3040571811
146	0.3033338081
147	0.3028221351
148	0.3021190535
149	0.300870407
