iter	Passed	Remaining
0	135	20155
1	137	10155
2	138	6807
3	140	5131
4	142	4133
5	146	3505
6	147	3022
7	149	2660
8	152	2392
9	154	2163
10	156	1974
11	157	1816
12	160	1687
13	162	1577
14	164	1476
15	165	1389
16	167	1313
17	169	1244
18	171	1184
19	173	1130
20	176	1081
21	177	1034
22	180	996
23	183	961
24	185	926
25	187	893
26	189	863
27	191	835
28	193	808
29	195	782
30	197	759
31	199	737
32	201	715
33	204	696
34	205	676
35	207	658
36	209	639
37	211	622
38	213	606
39	214	591
40	216	576
41	219	563
42	221	550
43	223	538
44	225	527
45	227	515
46	229	503
47	232	493
48	234	484
49	237	474
50	238	463
51	241	455
52	243	446
53	245	436
54	247	427
55	249	419
56	251	410
57	253	402
58	255	394
59	257	385
60	259	377
61	260	370
62	263	363
63	265	356
64	267	350
65	270	343
66	271	335
67	272	329
68	274	322
69	276	315
70	277	309
71	279	302
72	281	296
73	283	290
74	285	285
75	287	280
76	297	282
77	301	278
78	303	272
79	305	267
80	307	262
81	310	257
82	312	251
83	314	246
84	315	241
85	318	236
86	320	231
87	323	228
88	325	223
89	327	218
90	329	213
91	331	209
92	333	204
93	335	200
94	337	195
95	339	191
96	341	186
97	343	182
98	345	177
99	347	173
100	350	169
101	351	165
102	354	161
103	355	157
104	357	153
105	359	149
106	361	145
107	362	141
108	364	137
109	366	133
110	368	129
111	370	125
112	371	121
113	373	117
114	375	114
115	378	110
116	380	107
117	382	103
118	384	100
119	386	96
120	388	93
121	390	89
122	392	86
123	393	82
124	395	79
125	396	75
126	398	72
127	401	68
128	403	65
129	406	62
130	407	59
131	410	55
132	412	52
133	414	49
134	416	46
135	418	43
136	421	39
137	422	36
138	424	33
139	426	30
140	427	27
141	429	24
142	431	21
143	432	18
144	435	15
145	437	11
146	438	8
147	440	5
148	442	2
149	444	0
