iter	Passed	Remaining
0	1	1483
1	3	1399
2	5	1405
3	7	1373
4	9	1362
5	10	1253
6	12	1281
7	14	1325
8	16	1338
9	18	1337
10	20	1346
11	21	1333
12	23	1323
13	25	1317
14	27	1343
15	29	1338
16	31	1347
17	33	1353
18	34	1345
19	36	1340
20	38	1339
21	40	1336
22	42	1336
23	44	1334
24	45	1330
25	47	1327
26	49	1325
27	51	1321
28	52	1314
29	54	1317
30	56	1305
31	58	1307
32	60	1309
33	62	1305
34	64	1310
35	66	1309
36	67	1310
37	69	1309
38	71	1303
39	73	1308
40	75	1307
41	77	1307
42	79	1303
43	81	1301
44	83	1300
45	84	1299
46	86	1297
47	88	1296
48	90	1297
49	92	1294
50	94	1294
51	96	1296
52	98	1289
53	99	1285
54	101	1282
55	103	1279
56	105	1281
57	107	1281
58	109	1281
59	111	1279
60	113	1277
61	114	1274
62	116	1272
63	119	1275
64	120	1273
65	122	1271
66	124	1272
67	126	1271
68	128	1269
69	130	1267
70	132	1265
71	134	1264
72	136	1264
73	138	1261
74	139	1255
75	141	1253
76	143	1254
77	145	1255
78	147	1255
79	149	1256
80	151	1253
81	153	1251
82	155	1250
83	157	1247
84	159	1245
85	161	1244
86	163	1248
87	166	1250
88	168	1249
89	170	1250
90	171	1244
91	173	1240
92	175	1237
93	177	1235
94	179	1236
95	182	1244
96	184	1243
97	186	1241
98	188	1237
99	189	1233
100	191	1229
101	193	1227
102	196	1231
103	198	1232
104	200	1230
105	202	1229
106	204	1229
107	206	1228
108	209	1229
109	211	1228
110	213	1229
111	215	1229
112	216	1223
113	218	1220
114	220	1218
115	222	1218
116	225	1219
117	227	1220
118	230	1220
119	232	1218
120	233	1216
121	235	1214
122	237	1213
123	240	1215
124	242	1213
125	244	1212
126	247	1214
127	249	1213
128	251	1211
129	253	1211
130	256	1212
131	258	1212
132	261	1212
133	263	1210
134	265	1210
135	267	1209
136	268	1203
137	272	1206
138	275	1208
139	276	1203
140	278	1203
141	280	1201
142	282	1201
143	286	1203
144	288	1204
145	291	1204
146	293	1205
147	296	1205
148	298	1202
149	300	1201
150	303	1202
151	305	1200
152	307	1200
153	309	1198
154	311	1197
155	314	1197
156	317	1200
157	320	1200
158	323	1201
159	325	1201
160	328	1203
161	331	1203
162	333	1202
163	336	1203
164	339	1204
165	342	1204
166	344	1204
167	349	1211
168	352	1211
169	355	1212
170	358	1213
171	360	1212
172	364	1214
173	366	1213
174	369	1213
175	371	1213
176	374	1211
177	376	1210
178	378	1206
179	380	1204
180	382	1203
181	385	1202
182	387	1200
183	390	1199
184	392	1198
185	395	1198
186	397	1196
187	399	1195
188	402	1193
189	403	1189
190	405	1187
191	408	1187
192	410	1185
193	412	1182
194	415	1181
195	417	1179
196	418	1175
197	421	1173
198	422	1170
199	424	1168
200	427	1166
201	429	1164
202	431	1163
203	433	1160
204	435	1158
205	438	1157
206	440	1155
207	442	1153
208	444	1150
209	446	1148
210	448	1145
211	450	1142
212	452	1140
213	454	1138
214	456	1136
215	458	1134
216	461	1132
217	463	1130
218	464	1126
219	466	1123
220	469	1124
221	472	1123
222	474	1122
223	476	1120
224	478	1117
225	481	1115
226	483	1113
227	485	1111
228	487	1108
229	489	1106
230	491	1104
231	493	1101
232	495	1099
233	497	1096
234	499	1094
235	500	1090
236	502	1087
237	504	1085
238	506	1082
239	508	1079
240	509	1075
241	510	1072
242	512	1069
243	514	1067
244	516	1065
245	518	1062
246	520	1059
247	521	1056
248	523	1053
249	525	1051
250	527	1048
251	528	1044
252	530	1042
253	533	1040
254	534	1038
255	536	1035
256	538	1032
257	540	1030
258	542	1027
259	543	1024
260	545	1022
261	547	1019
262	549	1017
263	550	1014
264	552	1010
265	554	1008
266	555	1005
267	557	1002
268	559	999
269	561	997
270	562	994
271	564	992
272	566	989
273	568	987
